Name,Purpose,Agency,Country,LaunchDate,Orbit,Perigee,Apogee,RotationTime,
Landsat 7,Earth Observation,NASA,USA,15/04/1999,LEO,702,703,98.55,
Sentinel 2A,Earth Observation,EUMSAT,Multinational,23/06/2015,LEO,787,788,100.57,
Terra,Earth Observation,NASA,Multinational,12/18/1999,LEO,702,703,98.61,
Worldview 1,Earth Observation,Maxar Technologies Inc.,USA,18/09/2007,LEO,491,494,94.39,
Dove,Earth Observation,Planet Labs Inc.,USA,03/12/2018,LEO,574,592,95.71,
CYGNSS-E,Earth Observation,NASA,USA,15/12/2016,LEO,515,537,94.67,
Spark-1,Communications,Omnispace,USA,01/04/2022,LEO,638,656,97.16,
spot 6,Earth Observation,Spot Image,Multinational,09/09/2012,LEO,696,699,98.67,
Radarsat-2,Earth Observation,MDA Corporation,Canada,14/12/2007,LEO,791,793,100.64,
RAPIS-1,Technology Development,JAXA,Japan,17/01/2019,LEO,498,510,94.28,
Pleyades Neo 3,Earth Observation,Airbus Defense and Space,France,29/04/2021,LEO,623,626,97.13,
CBERS 4,Earth Observation,CMSA,Multinational,07/12/2014,LEO,738,748,100.26,
Proba 1,Technology Development,ESA,Multinational,22/10/2001,LEO,553,676,95.99,
resourcesat 2,Earth Observation,ISRO,Multinational,20/04/2011,LEO,817,823,101.23,
KOMPSAT-2,Technology Development,KARI,South Korea,28/07/2006,LEO,607,698,88.35,
CartoSAT 2,Earth Observation,ISRO,India,10/01/2007,LEO,632,635,91.71,
GeoEye-1,Earth Observation,Digitalglobe Corporation,USA,06/09/2008,LEO,671,686,98.27,
DEIMOS 1,Earth Observation,DMCII,Spain,29/09/2009,LEO,663,668,97.71,
SkySat 4,Earth Observation,Planet Labs Inc.,USA,16/09/2016,LEO,501,502,93.85,
GOES-13,Earth Observation,US Air Force,USA,24/05/2006,GEO,35768,35801,1436.19,
NOAA-15,Earth Observation,NOAA,USA,13/05/1998,LEO,800,816,100.89,
METEOSAT 10,Earth Observation,EUMSAT,Multinational,05/07/2012,GEO,35780,35791,1436.13,
Aqua,Earth Observation,NASA,USA,04/05/2002,LEO,701,704,98.69,
CALIPSO,Earth Observation,NASA,Multinational,28/04/2006,LEO,702,703,98.26,
CloudSAT,Earth Observation,NASA,USA,28/04/2006,LEO,702,703,98.27,
Aura,Earth Observation,Goddard Space Flight Center,USA,15/07/2004,LEO,702,703,98.71,
Suomi-100,Technology Development,Aalto University,Finland,03/12/2018,LEO,573,589,95.79,
NPP,Earth Observation,NASA,USA,28/10/2011,LEO,827,827,101.38,
SMAP,Earth Observation,NASA,USA,31/01/2005,LEO,660,656,98.34,
SciSAT-1,Space Science,Canadian Space Agency,Canada,12/08/2003,LEO,638,649,97.34,
IceSAT-2,Earth Observation,NASA,USA,15/09/2018,LEO,455,468,94.15,
Grace Follow-on-1,Earth Observation,NASA,Multinational,22/05/2018,LEO,485,504,94.22,
MMS-1,Space Science,NASA,USA,13/03/2015,HEO,1375,70009,5044.41,
Daichi-2,Earth Observation,JAXA,Japan,24/05/2014,LEO,630,635,97.27,
TanDEM-X,Earth Observation,German Aerospace Center,Germany,21/06/2010,LEO,507,510,94.73,
Jason 3,Earth Observation,NASA,Multinational,18/01/2016,LEO,1301,1324,112.39,
TDRS-3,Communications,NASA,USA,29/09/1988,GEO,35693,35878,1436.18,
Cosmos 2385,Communications,Ministry of Defense,Russia,27/12/2001,LEO,1417,1425,114.18,
SCD-2,Earth Observation,INPE,Brazil,23/10/1998,LEO,735,760,99.78,
USA 211,Communications,US Air Force,USA,06/12/2009,GEO,35785,35786,1436.16,
TianLian 3,Communications,CASC,China,25/07/2012,GEO,35768,35802,1436.16,
Meridian-8,Communications,Military Space Forces,Russia,07/30/2019,HEO,986,39735,717.89,
Skynet 4E,Communications,Ministry of Defense,United Kingdom,26/02/1999,GEO,35774,35797,1436.11,
Tiantong-1-03,Communications,China Telecom,China,19/01/2021,GEO,35777,35794,1436.12,
JCSat 17,Communications,Sky Perfect JSAT Corporation,Japan,18/02/2020,GEO,35773,35800,1436.15,
TJS-7,Communications,Shanghai Academy of Spaceflight Technology,China,24/08/2021,GEO,35780,35791,1436.17,
OneWeb-0286,Communications,OneWeb Satellites,United Kingdom,21/08/2021,LEO,1200,1202,109.66,
OneWeb-0051,Communications,OneWeb Satellites,United Kingdom,02/06/2020,LEO,1215,1220,109.76,
OneWeb-0036,Communications,OneWeb Satellites,United Kingdom,02/06/2020,LEO,1215,1220,109.76,
OneWeb-0010,Communications,OneWeb Satellites,United Kingdom,27/02/2019,LEO,1175,1180,109.4,
Reimei,Technology Development,JAXA,Japan,23/08/2005,LEO,595,638,96.26,
IBUKI,Earth Observation,JAXA,Japan,23/01/2009,LEO,668,670,98.06,
ASNARO-2,Earth Observation,Japan Space Systems,Japan,17/01/2018,LEO,493,505,94.53,
LUCAS,Communications,JAXA,Japan,29/11/2020,GEO,35779,35792,1436.2,
ERQ,Space Science,JAXA,Japan,20/12/2016,HEO,460,33200,564.44,
Beidou DW 46,Navigation/Global Positioning,Chinese Ministry of National Defense,China,24/06/2019,GEO,35739,35838,1436.31,
USA 262,Navigation/Global Positioning,US Air Force,USA,15/07/2015,MEO,20446,20459,718.02,
Galileo FOC FM21,Navigation/Global Positioning,ESA,Multinational,25/07/2018,MEO,22973,22980,844.69,
Beidou 3-M1,Navigation/Global Positioning,Chinese Ministry of National Defense,China,11/05/2017,MEO,21506,21549,773.23,
Starlink-1007,Communications,SpaceX,USA,11/11/2019,LEO,347,561,95.6,
Starlink-1013,Communications,SpaceX,USA,11/11/2019,LEO,549,551,95.6,
Starlink-1014,Communications,SpaceX,USA,12/11/2019,LEO,549,551,95.6,
Starlink-1015,Communications,SpaceX,USA,13/11/2019,LEO,549,551,95.6,
Starlink-1036,Communications,SpaceX,USA,14/11/2019,LEO,548,551,95.6,
Starlink-1017,Communications,SpaceX,USA,15/11/2019,LEO,549,551,95.6,
Starlink-1018,Communications,SpaceX,USA,16/11/2019,LEO,549,551,95.6,
Starlink-1019,Communications,SpaceX,USA,17/11/2019,LEO,548,551,95.6,
Starlink-1020,Communications,SpaceX,USA,18/11/2019,LEO,549,551,95.6,
Starlink-1021,Communications,SpaceX,USA,19/11/2019,LEO,548,551,95.6,
Starlink-1032,Communications,SpaceX,USA,20/11/2019,LEO,549,551,95.6,
Starlink-1023,Communications,SpaceX,USA,21/11/2019,LEO,549,551,95.6,
Starlink-1024,Communications,SpaceX,USA,22/11/2019,LEO,549,551,95.6,
Starlink-1028,Communications,SpaceX,USA,23/11/2019,LEO,549,551,95.6,
OneWeb-0316,Communications,OneWeb Satellites,United Kingdom,21/08/2021,LEO,1200,1202,109.14,
OneWeb-0044,Communications,OneWeb Satellites,United Kingdom,06/02/2021,LEO,1215,1220,109.14,
OneWeb-0045,Communications,OneWeb Satellites,United Kingdom,06/02/2021,LEO,1215,1220,109.14,
OneWeb-0046,Communications,OneWeb Satellites,United Kingdom,08/02/2021,LEO,1215,1220,109.14,
Yaogan 4,Earth Observation,Chinese Ministry of National Defense,China,01/12/2008,LEO,635,658,97.31,
Beidou IGSO-2,Navigation/Global Positioning,Chinese Ministry of National Defense,China,17/12/2010,GEO,35717,35817,1436.19,
Beidou IGSO-3,Navigation/Global Positioning,Chinese Ministry of National Defense,China,09/04/2011,GEO,35693,35872,1436.15,
Beidou IGSO-4,Navigation/Global Positioning,Chinese Ministry of National Defense,China,26/07/2011,GEO,35669,35927,1436.11,
Beidou IGSO-5,Navigation/Global Positioning,Chinese Ministry of National Defense,China,28/08/2011,GEO,35645,35982,1436.07,
Beidou 2-12,Navigation/Global Positioning,Chinese Ministry of National Defense,China,24/08/2012,MEO,21469,21595,773.23,
Beidou 2-15,Navigation/Global Positioning,Chinese Ministry of National Defense,China,18/09/2012,MEO,21477,21574,773.23,
Beidou 2-13,Navigation/Global Positioning,Chinese Ministry of National Defense,China,24/08/2012,MEO,21452,21608,773.23,
INTEGRAL,Space Science,NASA,Multinational,17/10/2002,HEO,6292,3910,3831.18,
USA 325,Space Science,Air Force Satellite Control Network,USA,21/01/2022,GEO,35703,35754,1437.99,
THEMIS D,Space Science,NASA,Multinational,17/02/2007,HEO,467,87260,1639.73,
TESS,Space Science,NASA,USA,18/04/2018,HEO,258,268,18711.87,
XMM,Space Science,ESOC,Multinational,10/12/1999,HEO,7079,114027,2872.51,
ISS,Space Science,NASA,Multinational,20/11/1998,LEO,401,422,92.92,
TDRS-5,Communications,SES S.A.,USA,02/08/1991,GEO,35773,35796,1436.2,
NOAA-19,Earth Observation,NOAA,USA,06/02/2009,LEO,845,864,101.86,
NOAA-18,Earth Observation,NOAA,USA,20/05/2005,LEO,843,864,101.85,
MetOp-B,Earth Observation,EUMSAT,Multinational,17/09/2012,LEO,819,822,101.24,
GOES-15,Earth Observation,NOAA,USA,04/03/2020,GEO,35786,35788,1440.41,
RadFxSat,Technology Development,Vanderbilt University,USA,18/11/2017,LEO,454,817,96.69,
Fox-1Cliff,Communications,AMSAT-NA,USA,03/12/2018,LEO,574,591,95.83,
Lucky-7,Technology Development,SkyFox Labs,Czech Republic,05/07/2019,LEO,515,545,94.11,
KMSL,Space Science,Chosun Univeresity,South Korea,22/03/2021,LEO,536,563,94.69,
TianYi-2,Technology Development,Spacety Aerospace Company,China,18/01/2018,LEO,527,547,93.91,
Fengyun 3C,Earth Observation,Meteorological Administration,China,23/09/2013,LEO,827,828,101.63,
AsiaSat-5,Communications,Asia Satellite Telecommunications Co Ltd.,China,11/08/2009,GEO,35778,35795,1436.13,
AsiaSat-6,Communications,Asia Satellite Telecommunications Co Ltd.,China,07/09/2014,GEO,35783,35793,1436.15,
AsiaSat-7,Communications,Asia Satellite Telecommunications Co Ltd.,China,25/11/2011,GEO,35783,35793,1436.13,
AsiaSat-8,Communications,Asia Satellite Telecommunications Co Ltd.,China,05/08/2014,GEO,35781,35795,1436.13,
AsiaSat-9,Communications,Asia Satellite Telecommunications Co Ltd.,China,28/09/2017,GEO,35783,35790,1436.17,
NSS-12,Communications,SES S.A.,Netherlands,29/10/2009,GEO,35779,35793,1436.03,
ORBCOMM-FM11,Communications,ORBCOMM Inc.,USA,23/12/1997,LEO,769,777,99.94,
Hubble Space Telescope,Space Science,ESA,Multinational,25/04/1990,LEO,555,590,95.16,
ViaSat-1,Communications,ViaSat Inc.,USA,19/10/2011,GEO,35775,35796,1436.16,
ViaSat-2,Communications,ViaSat Inc.,USA,01/06/2017,GEO,35785,35787,1436.16,
QZS-2,Navigation/Global Positioning,JAXA,Japan,31/05/2017,GEO,32663,38910,1436.43,
QZS-3,Navigation/Global Positioning,JAXA,Japan,19/08/2017,GEO,35784,35802,1436.23,
QZS-4,Navigation/Global Positioning,JAXA,Japan,09/10/2017,GEO,32622,38943,1436.21,
QZS-1R,Navigation/Global Positioning,JAXA,Japan,26/10/2021,GEO,32647,38964,1436.1,
INMARSAT 4-A F4,Technology Development,INMARSAT Ltd.,United Kingdom,25/07/2013,GEO,35786,35787,1436.15,
AprizeSat 1,Technology Development,Aprize Satellite,Argentina,29/06/2004,LEO,696,764,99.23,
AprizeSat 2,Technology Development,Aprize Satellite,Argentina,30/06/2004,LEO,694,850,100.14,
AprizeSat 3,Technology Development,Aprize Satellite,Argentina,29/07/2009,LEO,559,662,96.59,
AprizeSat 4,Technology Development,Aprize Satellite,Argentina,30/07/2009,LEO,604,674,97.19,
AprizeSat 5,Technology Development,Aprize Satellite,Argentina,18/07/2011,LEO,610,694,97.44,
AprizeSat 6,Technology Development,Aprize Satellite,Argentina,19/07/2011,LEO,627,640,97.65,
exactView 6,Communications,exactEarth,Canada,17/08/2011,LEO,627,694,97.65,
SkySat 15,Earth Observation,Planet Labs Inc.,USA,03/12/2018,LEO,573,590,93.51,
SkySat 16,Earth Observation,Planet Labs Inc.,USA,13/06/2020,LEO,573,590,93.51,
SkySat 17,Earth Observation,Planet Labs Inc.,USA,13/06/2020,LEO,395,403,93.51,
SkySat 18,Earth Observation,Planet Labs Inc.,USA,13/06/2020,LEO,387,398,92.73,
SkySat 19,Earth Observation,Planet Labs Inc.,USA,18/08/2020,LEO,400,410,91.93,
CXO,Space Science,NASA,USA,23/07/1999,HEO,9999,138825,3808.25,
Meridian-9,Communications,Military Space Forces,Russia,20/02/2020,HEO,1036,39308,717.78,
Cosmos 2518,Earth Observation,Ministry of Defense,Russia,25/08/2017,HEO,1650,38511,717.89,
Salsa,Space Science,ESA,Multinational,16/07/2020,HEO,21998,110256,3255.5,
Express-AM44,Communications,Russian Satellite Communications Company,Russia,11/02/2009,GEO,35987,35995,1436.15,
Luch 5A,Communications,Russian Federal Space Agency,Russia,11/02/2011,GEO,35778,35793,1436.13,
Kanopus-B,Earth Observation,Scientific Production Corporation,Russia,22/07/2012,LEO,501,505,93.77,
Resurs-P1,Earth Observation,Russian Federal Space Agency,Russia,25/06/2015,LEO,459,472,92.76,
Resurs-P2,Earth Observation,Russian Federal Space Agency,Russia,26/12/2014,LEO,461,472,92.67,
Luch 5V,Communications,Russian Federal Space Agency,Russia,28/04/2014,GEO,35676,35802,1436.17,
Express-AM8,Communications,Russian Satellite Communications Company,Russia,14/09/2015,GEO,35784,35788,1436.15,
Beidou DW 52,Navigation/Global Positioning,Chinese Ministry of National Defense,China,16/12/2019,MEO,21369,21561,773.23,
Beidou DW 53,Navigation/Global Positioning,Chinese Ministry of National Defense,China,17/12/2019,MEO,21530,22108,773.23,
Beidou DW 50,Navigation/Global Positioning,Chinese Ministry of National Defense,China,23/11/2019,MEO,21542,22194,773.23,
Beidou DW 55,Navigation/Global Positioning,Chinese Ministry of National Defense,China,23/06/2020,GEO,35764,35809,1436.13,
USA 213,Navigation/Global Positioning,US Air Force,USA,28/05/2010,MEO,20188,20224,717.97,
USA 206,Navigation/Global Positioning,US Air Force,USA,17/08/2009,MEO,20160,20209,718.01,
